Time,PPG,ECG,resp
600,0.292277615,0.494140625,0.10459433
600.008,0.292277615,0.505859375,0.102639296
600.016,0.295210166,0.505859375,0.100684262
600.024,0.300097752,0.5,0.100684262
600.032,0.308895406,0.509765625,0.099706745
600.04,0.322580645,0.515625,0.099706745
600.048,0.343108504,0.515625,0.100684262
600.056,0.370478983,0.515625,0.101661779
600.064,0.404692082,0.515625,0.103616813
600.072,0.437927664,0.509765625,0.106549365
600.08,0.472140762,0.515625,0.109481916
600.088,0.514173998,0.509765625,0.112414467
600.096,0.559139785,0.505859375,0.115347019
600.104,0.605083089,0.509765625,0.119257087
600.112,0.649071359,0.515625,0.123167155
600.12,0.68914956,0.509765625,0.128054741
600.128,0.725317693,0.515625,0.131964809
600.136,0.75659824,0.515625,0.137829912
600.144,0.782013685,0.51953125,0.142717498
600.152,0.803519062,0.525390625,0.1485826
600.16,0.820136852,0.53515625,0.153470186
600.168,0.830889541,0.5703125,0.158357771
600.176,0.83773216,0.609375,0.16226784
600.184,0.84457478,0.634765625,0.166177908
600.192,0.850439883,0.66015625,0.170087977
600.2,0.856304985,0.650390625,0.173020528
600.208,0.862170088,0.619140625,0.176930596
600.216,0.865102639,0.583984375,0.17888563
600.224,0.867057674,0.5703125,0.181818182
600.232,0.866080156,0.5546875,0.183773216
600.24,0.862170088,0.564453125,0.18572825
600.248,0.855327468,0.595703125,0.187683284
600.256,0.84457478,0.5703125,0.189638319
600.264,0.830889541,0.525390625,0.191593353
600.272,0.816226784,0.494140625,0.19257087
600.28,0.799608993,0.474609375,0.193548387
600.288,0.780058651,0.455078125,0.194525904
600.296,0.758553275,0.4609375,0.194525904
600.304,0.737047898,0.455078125,0.195503421
600.312,0.714565005,0.4453125,0.195503421
600.32,0.694037146,0.4453125,0.196480938
600.328,0.673509286,0.44921875,0.196480938
600.336,0.655913978,0.455078125,0.197458456
600.344,0.639296188,0.46484375,0.198435973
600.352,0.625610948,0.580078125,0.19941349
600.36,0.613880743,0.875,0.201368524
600.368,0.604105572,1.134765625,0.203323558
600.376,0.596285435,1.125,0.204301075
600.384,0.590420332,1.154296875,0.206256109
600.392,0.586510264,0.779296875,0.208211144
600.4,0.583577713,0.279296875,0.210166178
600.408,0.582600196,-0.03515625,0.212121212
600.416,0.581622678,-0.16015625,0.214076246
600.424,0.581622678,-0.099609375,0.215053763
600.432,0.582600196,-0.01953125,0.217008798
600.44,0.58455523,0.16015625,0.218963832
600.448,0.586510264,0.314453125,0.219941349
600.456,0.589442815,0.349609375,0.221896383
600.464,0.591397849,0.359375,0.223851417
600.472,0.592375367,0.365234375,0.225806452
600.48,0.593352884,0.37109375,0.228739003
600.488,0.594330401,0.380859375,0.230694037
600.496,0.596285435,0.375,0.232649071
600.504,0.597262952,0.375,0.234604106
600.512,0.596285435,0.380859375,0.235581623
600.52,0.595307918,0.380859375,0.237536657
600.528,0.593352884,0.380859375,0.238514174
600.536,0.590420332,0.375,0.240469208
600.544,0.587487781,0.390625,0.241446725
600.552,0.583577713,0.39453125,0.24340176
