Time,PPG,ECG,resp
360,0.737047898,0.515686275,0.368523949
360.008,0.73313783,0.509803922,0.365591398
360.016,0.730205279,0.505882353,0.363636364
360.024,0.725317693,0.505882353,0.360703812
360.032,0.71945259,0.505882353,0.357771261
360.04,0.712609971,0.509803922,0.35483871
360.048,0.703812317,0.509803922,0.352883675
360.056,0.693059629,0.515686275,0.349951124
360.064,0.679374389,0.505882353,0.34799609
360.072,0.664711632,0.505882353,0.345063539
360.08,0.648093842,0.509803922,0.343108504
360.088,0.629521017,0.519607843,0.342130987
360.096,0.608993157,0.505882353,0.340175953
360.104,0.589442815,0.484313725,0.339198436
360.112,0.571847507,0.470588235,0.338220919
360.12,0.552297165,0.449019608,0.337243402
360.128,0.532746823,0.435294118,0.336265885
360.136,0.515151515,0.439215686,0.335288368
360.144,0.498533724,0.445098039,0.33431085
360.152,0.484848485,0.454901961,0.333333333
360.16,0.472140762,0.449019608,0.333333333
360.168,0.462365591,0.449019608,0.332355816
360.176,0.45259042,0.449019608,0.332355816
360.184,0.444770283,0.439215686,0.331378299
360.192,0.437927664,0.429411765,0.331378299
360.2,0.432062561,0.429411765,0.330400782
360.208,0.426197458,0.435294118,0.330400782
360.216,0.419354839,0.419607843,0.329423265
360.224,0.412512219,0.429411765,0.329423265
360.232,0.404692082,0.429411765,0.329423265
360.24,0.396871945,0.429411765,0.328445748
360.248,0.390029326,0.429411765,0.328445748
360.256,0.382209189,0.425490196,0.328445748
360.264,0.375366569,0.419607843,0.328445748
360.272,0.368523949,0.429411765,0.327468231
360.28,0.361681329,0.419607843,0.327468231
360.288,0.355816227,0.419607843,0.327468231
360.296,0.348973607,0.415686275,0.327468231
360.304,0.344086022,0.425490196,0.326490714
360.312,0.340175953,0.415686275,0.326490714
360.32,0.33431085,0.403921569,0.326490714
360.328,0.329423265,0.374509804,0.326490714
360.336,0.324535679,0.339215686,0.325513196
360.344,0.319648094,0.429411765,0.325513196
360.352,0.314760508,0.696078431,0.325513196
360.36,0.309872923,0.870588235,0.325513196
360.368,0.305962854,0.470588235,0.326490714
